granularity;manufacturer;device;series;manufacturer_type;catalog_number;rated_current_A;poles_total;poles_protected;pole_configuration;characteristic;breaking_capacity_kA;residual_current_mA;rcd_type;voltage_type;heat_loss_W;heat_loss_basis;catalog_status;verification;notes;source_url
variant;CHINT;Jistič;NXB-125;NXB-125 4P C63;;63;4;4;4P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 4P D63;;63;4;4;4P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 1P C80;;80;1;1;1P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 1P D80;;80;1;1;1P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 2P C80;;80;2;2;2P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 2P D80;;80;2;2;2P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 3P C80;;80;3;3;3P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 3P D80;;80;3;3;3P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 4P C80;;80;4;4;4P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 4P D80;;80;4;4;4P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 1P C100;;100;1;1;1P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 1P D100;;100;1;1;1P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 2P C100;;100;2;2;2P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 2P D100;;100;2;2;2P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 3P C100;;100;3;3;3P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 3P D100;;100;3;3;3P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 4P C100;;100;4;4;4P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 4P D100;;100;4;4;4P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 1P C125;;125;1;1;1P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 1P D125;;125;1;1;1P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 2P C125;;125;2;2;2P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 2P D125;;125;2;2;2P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 3P C125;;125;3;3;3P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 3P D125;;125;3;3;3P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 4P C125;;125;4;4;4P;C;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-125;NXB-125 4P D125;;125;4;4;4P;D;10;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
series;CHINT;Jistič;NXB-63;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;MCB;https://www.chintglobal.com/
variant;CHINT;Jistič;NXB-63;NXB-63 1P B1;;1;1;1;1P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P B1;;1;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C1;;1;1;1;1P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C1;;1;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D1;;1;1;1;1P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D1;;1;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N B1;;1;2;1;1P+N;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N C1;;1;2;1;1P+N;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N D1;;1;2;1;1P+N;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B1;;1;2;2;2P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B1;;1;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C1;;1;2;2;2P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C1;;1;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D1;;1;2;2;2P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D1;;1;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B1;;1;3;3;3P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B1;;1;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P C1;;1;3;3;3P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P C1;;1;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P D1;;1;3;3;3P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P D1;;1;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N B1;;1;4;3;3P+N;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N C1;;1;4;3;3P+N;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N D1;;1;4;3;3P+N;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P B1;;1;4;4;4P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P B1;;1;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P C1;;1;4;4;4P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P C1;;1;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P D1;;1;4;4;4P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P D1;;1;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P B2;;2;1;1;1P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P B2;;2;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C2;;2;1;1;1P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C2;;2;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D2;;2;1;1;1P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D2;;2;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N B2;;2;2;1;1P+N;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N C2;;2;2;1;1P+N;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N D2;;2;2;1;1P+N;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B2;;2;2;2;2P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B2;;2;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C2;;2;2;2;2P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C2;;2;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D2;;2;2;2;2P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D2;;2;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B2;;2;3;3;3P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B2;;2;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P C2;;2;3;3;3P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P C2;;2;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P D2;;2;3;3;3P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P D2;;2;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N B2;;2;4;3;3P+N;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N C2;;2;4;3;3P+N;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N D2;;2;4;3;3P+N;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P B2;;2;4;4;4P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P B2;;2;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P C2;;2;4;4;4P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P C2;;2;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P D2;;2;4;4;4P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P D2;;2;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P B3;;3;1;1;1P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P B3;;3;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C3;;3;1;1;1P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C3;;3;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D3;;3;1;1;1P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D3;;3;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N B3;;3;2;1;1P+N;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N C3;;3;2;1;1P+N;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N D3;;3;2;1;1P+N;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B3;;3;2;2;2P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B3;;3;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C3;;3;2;2;2P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C3;;3;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D3;;3;2;2;2P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D3;;3;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B3;;3;3;3;3P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B3;;3;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P C3;;3;3;3;3P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P C3;;3;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P D3;;3;3;3;3P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P D3;;3;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N B3;;3;4;3;3P+N;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N C3;;3;4;3;3P+N;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P+N D3;;3;4;3;3P+N;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P B3;;3;4;4;4P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P B3;;3;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P C3;;3;4;4;4P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P C3;;3;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P D3;;3;4;4;4P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 4P D3;;3;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P B4;;4;1;1;1P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P B4;;4;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C4;;4;1;1;1P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P C4;;4;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D4;;4;1;1;1P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P D4;;4;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N B4;;4;2;1;1P+N;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N C4;;4;2;1;1P+N;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 1P+N D4;;4;2;1;1P+N;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B4;;4;2;2;2P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P B4;;4;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C4;;4;2;2;2P;C;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P C4;;4;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D4;;4;2;2;2P;D;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 2P D4;;4;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B4;;4;3;3;3P;B;6;;;AC;;;current;exact catalog option matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution/nxb-63.html
variant;CHINT;Jistič;NXB-63;NXB-63 3P B4;;4;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://www.chintglobal.com/global/en/products/low-voltage/iec/final-power-distribution.html
